WindDir_CALM,WindDir_E,WindDir_ENE,WindDir_ESE,WindDir_N,WindDir_NE,WindDir_NNE,WindDir_NNW,WindDir_NW,WindDir_S,WindDir_SE,WindDir_SSE,WindDir_SSW,WindDir_SW,WindDir_W,WindDir_WNW,WindDir_WSW,Air Temp (degrees C),Humidity (%),MSLP (hPa),Wind Speed (km/h),Wind Gust  (km/h),E (hPa),Dew Pt Temp (degrees C),Apparent Temp (degrees C),Rainfall since 9 am (mm)
0.0,0.0,0.0,0.007633587786259542,0.1450381679389313,0.007633587786259542,0.07633587786259542,0.030534351145038167,0.07633587786259542,0.10687022900763359,0.022900763358778626,0.06870229007633588,0.05343511450381679,0.061068702290076333,0.1297709923664122,0.08396946564885496,0.1297709923664122,19.074809160305346,62.50381679389313,1021.1801526717558,11.572519083969466,39.0,13.876673656925254,11.622900763358778,0.0,0.0
0.0,0.008620689655172414,0.0,0.0,0.5775862068965517,0.02586206896551724,0.1896551724137931,0.034482758620689655,0.017241379310344827,0.0,0.008620689655172414,0.017241379310344827,0.0,0.008620689655172414,0.02586206896551724,0.08620689655172414,0.0,23.968103448275862,64.93103448275862,1014.8637931034483,15.543103448275861,52.0,18.998981191544658,16.71206896551724,0.0,0.0
0.0,0.0,0.0,0.0,0.2916666666666667,0.0,0.016666666666666666,0.13333333333333333,0.025,0.18333333333333332,0.0,0.0,0.23333333333333334,0.016666666666666666,0.008333333333333333,0.03333333333333333,0.058333333333333334,21.822499999999998,86.31666666666666,1011.0733333333334,17.925,39.0,22.608475521963335,19.404999999999998,0.0,205.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5294117647058824,0.0,0.0,0.3235294117647059,0.14705882352941177,0.0,0.0,0.0,16.291176470588233,79.5,1017.464705882353,18.38235294117647,32.0,14.708100341252297,12.761764705882353,0.0,142.20000000000002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.4,75.0,1024.5,7.0,7.0,13.094968724922985,11.1,0.0,0.0
0.0,0.011627906976744186,0.0,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.27906976744186046,0.023255813953488372,0.16279069767441862,0.19767441860465115,0.09302325581395349,0.1744186046511628,0.0,0.046511627906976744,21.27906976744186,62.19767441860465,1022.3976744186047,13.651162790697674,26.0,15.674311185135616,13.69186046511628,0.0,0.0
0.0,0.014925373134328358,0.05970149253731343,0.09701492537313433,0.3283582089552239,0.022388059701492536,0.1044776119402985,0.05223880597014925,0.08955223880597014,0.007462686567164179,0.05223880597014925,0.04477611940298507,0.0,0.0,0.03731343283582089,0.08955223880597014,0.0,23.20149253731343,61.708955223880594,1019.3925373134329,14.656716417910447,39.0,16.570360784098686,14.65820895522388,0.0,0.0
0.0,0.056910569105691054,0.016260162601626018,0.06504065040650407,0.6422764227642277,0.0,0.06504065040650407,0.10569105691056911,0.024390243902439025,0.0,0.008130081300813009,0.0,0.0,0.0,0.008130081300813009,0.0,0.008130081300813009,22.912195121951218,68.02439024390245,1015.19918699187,17.520325203252032,39.0,18.46393374141635,16.31138211382114,0.0,75.6
0.0,0.0,0.007407407407407408,0.007407407407407408,0.1111111111111111,0.022222222222222223,0.02962962962962963,0.08148148148148149,0.05185185185185185,0.4,0.014814814814814815,0.1111111111111111,0.08148148148148149,0.02962962962962963,0.014814814814814815,0.02962962962962963,0.007407407407407408,22.97703703703704,76.68888888888888,1013.0762962962962,12.8,32.0,21.00387099247472,18.36,0.0,234.6
0.0,0.11627906976744186,0.03875968992248062,0.05426356589147287,0.031007751937984496,0.031007751937984496,0.023255813953488372,0.007751937984496124,0.015503875968992248,0.20155038759689922,0.06201550387596899,0.05426356589147287,0.10077519379844961,0.05426356589147287,0.07751937984496124,0.03875968992248062,0.09302325581395349,23.144961240310074,71.0077519379845,1011.8434108527132,10.333333333333334,24.0,19.697413604202172,17.33875968992248,0.0,38.4
0.0,0.03389830508474576,0.03389830508474576,0.00847457627118644,0.16101694915254236,0.05084745762711865,0.03389830508474576,0.0423728813559322,0.11864406779661017,0.0,0.0,0.0,0.0,0.1016949152542373,0.211864406779661,0.09322033898305085,0.11016949152542373,23.66949152542373,64.83898305084746,1003.1406779661017,25.279661016949152,59.0,18.38839226047956,16.072033898305083,0.0,506.4
0.0,0.0,0.0,0.0,0.20238095238095238,0.0,0.03571428571428571,0.09523809523809523,0.05952380952380952,0.011904761904761904,0.023809523809523808,0.011904761904761904,0.0,0.14285714285714285,0.16666666666666666,0.10714285714285714,0.14285714285714285,18.729761904761904,68.10714285714286,1009.4011904761904,18.523809523809526,54.0,14.520647120606684,12.485714285714286,0.0,12.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4864864864864865,0.0,0.02702702702702703,0.32432432432432434,0.16216216216216217,0.0,0.0,0.0,17.513513513513512,53.91891891891892,1021.5432432432432,27.216216216216218,44.0,10.760402847198936,8.135135135135135,0.0,6.6000000000000005
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6984126984126984,0.047619047619047616,0.2222222222222222,0.031746031746031744,0.0,0.0,0.0,0.0,18.36190476190476,56.57142857142857,1025.6317460317462,20.253968253968253,33.0,11.869204691162496,9.58095238095238,0.0,0.0
0.0,0.072,0.048,0.096,0.0,0.008,0.0,0.0,0.016,0.272,0.192,0.16,0.048,0.032,0.024,0.0,0.032,18.2104,63.864,1024.1128,11.856,26.0,13.269800720468412,11.1984,0.0,0.0
0.0,0.017391304347826087,0.017391304347826087,0.017391304347826087,0.0782608695652174,0.02608695652173913,0.0,0.008695652173913044,0.0,0.22608695652173913,0.034782608695652174,0.0782608695652174,0.14782608695652175,0.09565217391304348,0.09565217391304348,0.08695652173913043,0.06956521739130435,18.562608695652173,65.40869565217392,1018.3104347826087,9.608695652173912,30.0,13.675004851717556,11.694782608695652,0.0,0.0
0.0,0.0,0.01652892561983471,0.0,0.01652892561983471,0.0,0.0,0.01652892561983471,0.01652892561983471,0.23140495867768596,0.0743801652892562,0.2066115702479339,0.05785123966942149,0.09917355371900827,0.11570247933884298,0.10743801652892562,0.04132231404958678,19.03801652892562,68.1900826446281,1014.2305785123966,10.256198347107437,20.0,14.885546558850749,12.967768595041322,0.0,0.0
0.0,0.015267175572519083,0.015267175572519083,0.022900763358778626,0.20610687022900764,0.022900763358778626,0.05343511450381679,0.09923664122137404,0.061068702290076333,0.09923664122137404,0.015267175572519083,0.13740458015267176,0.06870229007633588,0.061068702290076333,0.03816793893129771,0.015267175572519083,0.06870229007633588,21.404580152671755,68.64885496183206,1008.9977099236642,9.114503816793894,30.0,16.82181033005625,14.841221374045801,0.0,21.0
0.0,0.0,0.0,0.007874015748031496,0.18110236220472442,0.015748031496062992,0.031496062992125984,0.031496062992125984,0.007874015748031496,0.3700787401574803,0.07874015748031496,0.03937007874015748,0.14960629921259844,0.007874015748031496,0.047244094488188976,0.015748031496062992,0.015748031496062992,18.721259842519686,85.59055118110236,1009.6299212598425,13.10236220472441,24.0,18.49865828774374,16.243307086614173,0.0,313.8
0.0,0.014388489208633094,0.0,0.07913669064748201,0.0,0.0,0.0,0.0,0.0,0.33093525179856115,0.18705035971223022,0.1223021582733813,0.18705035971223022,0.07913669064748201,0.0,0.0,0.0,16.815107913669067,76.00719424460432,1008.7402877697841,11.39568345323741,26.0,14.5425879180115,12.571942446043165,0.0,130.20000000000002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04938271604938271,0.0,0.0,0.20987654320987653,0.2345679012345679,0.07407407407407407,0.012345679012345678,0.41975308641975306,15.749382716049384,70.03703703703704,1008.679012345679,20.88888888888889,54.0,12.416797083778047,10.171604938271605,0.0,18.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.15384615384615385,0.3076923076923077,0.05128205128205128,0.0,0.46153846153846156,17.125641025641023,52.92307692307692,1014.8282051282052,16.23076923076923,35.0,10.2931440108905,7.502564102564103,0.0,0.0
